"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1,331.83","1,288.03","1,333.12","1,278.63","1.95B","2.57%"
"11/01/2025","1,298.52","1,311.55","1,315.48","1,243.56","4.03B","-1.01%"
"10/01/2025","1,311.71","1,296.92","1,328.04","1,268.86","4.59B","0.43%"
"09/01/2025","1,306.11","1,268.91","1,306.71","1,258.08","4.40B","1.72%"
"08/01/2025","1,284.04","1,269.75","1,303.03","1,253.22","4.25B","-0.15%"
"07/01/2025","1,285.95","1,245.21","1,311.98","1,244.26","4.86B","2.95%"
"06/01/2025","1,249.13","1,204.65","1,250.44","1,189.73","4.19B","3.46%"
"05/01/2025","1,207.31","1,117.29","1,221.24","1,111.07","4.52B","8.63%"
"04/01/2025","1,111.41","1,106.23","1,130.42","954.04","5.34B","0.15%"
"03/01/2025","1,109.72","1,158.92","1,162.40","1,083.25","4.70B","-3.72%"
"02/01/2025","1,152.54","1,155.41","1,176.17","1,128.77","3.89B","-1.60%"
"01/01/2025","1,171.34","1,124.79","1,201.20","1,104.77","3.98B","4.99%"
"12/01/2024","1,115.65","1,214.76","1,214.76","1,106.63","3.87B","-8.10%"
"11/01/2024","1,214.04","1,135.91","1,219.18","1,128.15","3.64B","7.33%"
"10/01/2024","1,131.09","1,147.08","1,180.88","1,127.68","4.03B","-1.39%"
"09/01/2024","1,147.06","1,105.41","1,148.56","1,056.62","4.10B","3.27%"
"08/01/2024","1,110.78","1,080.17","1,111.38","1,007.89","4.21B","2.67%"
"07/01/2024","1,081.94","1,036.62","1,092.15","1,018.03","4.86B","4.84%"
"06/01/2024","1,031.96","1,046.20","1,051.31","1,010.27","4.11B","-1.05%"
"05/01/2024","1,042.88","1,027.52","1,067.08","1,020.29","4.78B","1.44%"
"04/01/2024","1,028.09","1,066.85","1,069.86","1,016.99","5.33B","-3.62%"
"03/01/2024","1,066.71","1,021.17","1,068.98","1,017.55","4.42B","4.32%"
"02/01/2024","1,022.56","959.25","1,024.23","956.58","4.33B","6.98%"
"01/01/2024","955.86","960.17","968.87","931.35","5.13B","-0.92%"
"12/01/2023","964.73","904.10","968.51","903.33","4.12B","6.85%"
"11/01/2023","902.92","831.83","903.31","827.28","3.98B","8.51%"
"10/01/2023","832.11","855.95","878.70","813.21","4.86B","-2.97%"
"09/01/2023","857.57","918.61","920.41","851.91","3.58B","-6.06%"
"08/01/2023","912.89","932.68","939.87","889.19","3.51B","-2.26%"
"07/01/2023","934.02","903.93","935.29","891.44","3.70B","2.86%"
"06/01/2023","908.09","819.50","910.54","816.46","3.75B","11.17%"
