"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","434.50","454.65","454.69","428.28","1.22B","-5.16%"
"11/01/2025","458.15","451.46","458.41","442.41","2.66B","1.33%"
"10/01/2025","452.13","444.11","476.06","443.15","3.00B","2.02%"
"09/01/2025","443.18","423.30","444.58","415.80","2.79B","3.97%"
"08/01/2025","426.24","433.54","445.03","425.45","2.66B","-2.03%"
"07/01/2025","435.08","415.06","436.84","408.04","2.99B","4.89%"
"06/01/2025","414.79","412.20","419.08","402.51","3.12B","0.07%"
"05/01/2025","414.48","403.78","420.45","396.09","3.06B","3.36%"
"04/01/2025","400.99","400.05","407.61","360.97","3.29B","0.04%"
"03/01/2025","400.81","399.30","403.00","382.55","3.25B","0.06%"
"02/01/2025","400.57","390.42","407.97","389.99","2.90B","1.17%"
"01/01/2025","395.93","387.76","409.00","375.84","3.11B","2.85%"
"12/01/2024","384.95","418.89","418.95","377.70","2.42B","-8.07%"
"11/01/2024","418.72","405.27","421.57","389.80","2.58B","3.16%"
"10/01/2024","405.90","410.26","418.88","396.55","2.34B","-1.07%"
"09/01/2024","410.28","385.40","410.57","382.90","2.40B","6.43%"
"08/01/2024","385.51","370.08","385.98","366.57","2.31B","4.29%"
"07/01/2024","369.64","349.20","370.54","343.50","2.25B","6.73%"
"06/01/2024","346.33","366.70","366.70","344.57","2.27B","-5.75%"
"05/01/2024","367.47","338.09","369.01","337.37","2.55B","8.46%"
"04/01/2024","338.80","333.20","341.36","317.66","2.24B","1.59%"
"03/01/2024","333.49","312.29","333.91","307.72","2.60B","6.31%"
"02/01/2024","313.71","311.08","317.99","299.76","2.44B","0.53%"
"01/01/2024","312.07","320.62","330.34","304.17","2.37B","-3.06%"
"12/01/2023","321.92","316.69","336.16","314.69","2.47B","1.69%"
"11/01/2023","316.57","303.60","320.17","300.41","2.67B","4.52%"
"10/01/2023","302.87","296.82","306.51","278.06","2.98B","1.23%"
"09/01/2023","299.20","319.65","330.78","297.50","2.31B","-5.83%"
"08/01/2023","317.74","340.34","341.82","316.42","2.04B","-6.72%"
"07/01/2023","340.62","331.27","351.30","328.16","1.83B","2.35%"
"06/01/2023","332.80","328.30","342.06","322.99","2.26B","1.47%"
"05/01/2023","327.97","349.59","354.27","322.96","2.28B","-6.36%"
"04/01/2023","350.26","342.19","357.07","339.70","1.57B","1.82%"
"03/01/2023","344.01","326.46","344.05","321.65","2.50B","4.62%"
"02/01/2023","328.82","349.47","356.34","328.68","1.90B","-6.36%"
"01/01/2023","351.17","359.25","367.17","345.00","1.86B","-2.04%"
"12/01/2022","358.48","364.27","372.55","351.22","2.00B","-0.77%"
"11/01/2022","361.25","340.84","361.75","328.74","2.15B","6.51%"
"10/01/2022","339.18","338.49","350.08","306.73","2.59B","2.00%"
"09/01/2022","332.52","376.01","395.23","332.05","1.74B","-11.55%"
"08/01/2022","375.93","375.12","395.11","368.95","1.55B","0.07%"
"07/01/2022","375.65","357.88","377.25","344.89","1.46B","5.39%"
"06/01/2022","356.45","376.84","380.20","324.52","1.89B","-5.13%"
"05/01/2022","375.72","363.34","381.00","353.65","1.97B","3.82%"
"04/01/2022","361.88","377.97","392.38","361.33","1.69B","-4.29%"
"03/01/2022","378.12","342.93","381.68","338.07","2.14B","10.08%"
"02/01/2022","343.50","350.47","352.75","325.41","2.00B","-2.32%"
"01/01/2022","351.67","363.55","363.65","336.48","1.87B","-3.31%"
"12/01/2021","363.71","334.34","365.09","333.00","1.57B","9.36%"
"11/01/2021","332.59","340.02","344.99","332.31","1.49B","-2.13%"
"10/01/2021","339.84","326.60","344.73","323.55","1.42B","4.70%"
"09/01/2021","324.58","347.65","354.25","322.15","1.59B","-6.42%"
"08/01/2021","346.86","336.12","354.31","335.05","1.42B","3.50%"
"07/01/2021","335.12","320.84","340.57","320.84","1.43B","4.21%"
"06/01/2021","321.58","330.58","337.49","320.41","1.65B","-2.43%"
"05/01/2021","329.58","339.44","342.09","326.32","1.60B","-2.78%"
"04/01/2021","339.00","324.95","345.90","323.02","1.52B","4.22%"
"03/01/2021","325.26","298.16","327.67","294.84","2.20B","10.13%"
"02/01/2021","295.35","317.64","324.99","295.30","1.48B","-6.54%"
"01/01/2021","316.02","318.91","326.46","308.28","1.57B","-0.96%"
"12/01/2020","319.07","320.07","324.45","306.97","1.66B","0.42%"
"11/01/2020","317.73","319.82","344.81","316.56","1.68B","0.26%"
"10/01/2020","316.92","302.28","332.10","301.85","1.51B","4.99%"
